name,thumbnail,total_view,total_episode,avg_view,link,score,score_count,score_rate,first_launched_date,author,director,agent,animator,types,intro
BLEACH 死神 千年血戰篇-相剋譚-,https://p2.bahamut.com.tw/B/ACG/c/62/0000135862.JPG,781000.0,6,130166.66666666667,https://ani.gamer.com.tw/animeRef.php?sn=113661,4.9,4508.0,0.005772087067861716,2024-10-05,久保帶人,田口智久、村田光,Ani-One,PIERROT FILMS,"['動作', '冒險', '奇幻', '血腥暴力']","攸關三界存亡的戰爭，流下的究竟是血還是淚？得到新力量的一護再次挑戰優哈巴哈，卻被雨龍妨礙。戰鬥舞台轉移到不可侵犯的神域「靈王宮」，靈王的專屬護衛「第零隊」迎戰入侵者，真正的戰鬥和絕望現在才剛要開始。死神與滅卻師、一護與雨龍、信念與決心，無法同時存在的光與影，在深藍色的天空中相剋。"
藍色監獄 VS. U-20 日本代表隊,https://p2.bahamut.com.tw/B/ACG/c/01/0000131301.JPG,790000.0,6,131666.66666666666,https://ani.gamer.com.tw/animeRef.php?sn=113660,3.7,5058.0,0.00640253164556962,2024-10-05,金城宗幸、野村優介,生原雄次、井之川慎太郎,Ani-One,8bit,"['動作', '運動', '競技']","為了培養出能帶領日本隊贏得世界盃的世界第一攻擊球員，日本足球聯盟訂定了「BLUE LOCK（藍色監獄）企劃」。該企劃招募了300位高中生，並且全部都是FW（前鋒）。落敗的選手，將失去進入日本代表隊的資格。在這樣的極限狀態下，被挑選出來的各個才能的原石，身為攻擊球員的自私特性一一覺醒。時而贏過他人，時而自我進化，經過嚴酷的生存之戰，最後存活下來了35人。通過了狂熱自私風暴生存之戰的選手們，賭上「BLUE LOCK（藍色監獄）」計畫是否繼續執行，他們將挑戰U-20日本代表隊以及史上最瘋狂的賽事！現在，選手們為了自我的自私能刻劃在世界，靠自己改變命運，史上最熱血的賽試即將開打。"
刀劍神域外傳 Gun Gale Online II,https://p2.bahamut.com.tw/B/ACG/c/62/0000134162.JPG,629000.0,6,104833.33333333333,https://ani.gamer.com.tw/animeRef.php?sn=113656,4.9,4305.0,0.006844197138314786,2024-10-05,時雨澤恵一、川原礫,迫井政行,木棉花,A-1 Pictures,"['動作', '冒險', '科幻']","《刀劍神域外傳 Gun Gale Online》是全球累積發行量突破3,000萬本的《刀劍神域》衍生出的故事。由原作時雨澤惠一與角色原案黑星紅白共同打造的『另一個版本的SAO』。故事舞台設定在充滿彈藥與煙硝味的VRMMO（虛擬實境大型多人線上遊戲）《Gun Gale Online》。因身高而感到自卑的小比類巻香蓮，為了擁有另一個更小的自己，因而踏入VR遊戲的世界。她化身為遊戲角色《蓮》，手持愛槍《P90》，挑戰團隊對抗的死亡對決《Squad Jam（特攻強襲）》。2018年4月開播的TV動畫第一季中，少女們展現的刺激槍戰場面，引發了國內外廣大迴響。而自2024年10月起，也確定播出TV動"
當不成魔法師的女孩,https://p2.bahamut.com.tw/B/ACG/c/69/0000102169.JPG,123000.0,6,20500.0,https://ani.gamer.com.tw/animeRef.php?sn=113651,4.7,1049.0,0.008528455284552846,2024-10-05,赤坂優月,渡部高志、松根正人,Ani-One,J.C.STAFF,"['奇幻', '魔法', '校園', '溫馨']",故事圍繞於一心想成為魔法師的天然少女「可露米·未來」，以及被譽為「人才輩出的魔法師名門」愛德爾家的千金「柚子·愛德爾」。她們明明有著很高的魔法才能，但卻在國家魔法師養成專門學科落榜了！？原以為追夢受挫，兩人卻發現普通科班主任竟然是外表像小孩的國家魔法師「美奈海·鈴樹」…校園生活就此發生大轉變！古怪的同班同學、可疑的同好會…這所學校到底隱藏了什麼秘密！？這是由兩個與夢想擦肩而過、性格截然相反的女孩們譜寫的青春×魔法校園的奇幻故事！
凍牌~地下麻將鬥牌錄~,https://p2.bahamut.com.tw/B/ACG/c/05/0000137305.JPG,150000.0,6,25000.0,https://ani.gamer.com.tw/animeRef.php?sn=113657,4.5,645.0,0.0043,2024-10-05,志名坂高次,羽鳥潤,回歸線娛樂,東魚工作室,"['運動', '競技', '血腥暴力', '黑暗']",金錢、女人、器官......。在欲望蠢動的地下雀莊裡有一名闖蕩的高中生少年–圭。他正過著白天當著學生、夜晚則是打麻將的雙重生活。由於他思考冷靜，牌技冷豔，在道上被稱為「冰之K」。傳聞，家中飼養著一名少女......。在冷血無情、隨時都會取人性命的黑道場地，年僅15歲的少年，要如何在一決生死的牌局上翻起驚濤駭浪呢？
神劍闖江湖 ―明治劍客浪漫譚― 京都動亂,https://p2.bahamut.com.tw/B/ACG/c/81/0000136981.JPG,193000.0,7,27571.428571428572,https://ani.gamer.com.tw/animeRef.php?sn=113648,4.9,1242.0,0.006435233160621762,2024-10-04,和月伸宏,駒田由貴、牧野吉高,曼迪,LIDENFILMS,"['動作', '冒險', '歷史']",內務大臣大久保利通道出過去擔任政府刺客的志志雄真實正在京都密謀造反，並希望劍心協助暗殺志志雄。與齋藤一戰後，察覺自己內心深處仍住著不曾改變的瘋狂劊子手，劍心也因此再次踏上流浪之路。隨著他的離去，舞台也來到京都。
機械臂,https://p2.bahamut.com.tw/B/ACG/c/21/0000105221.JPG,179000.0,7,25571.428571428572,https://ani.gamer.com.tw/animeRef.php?sn=113650,4.6,1201.0,0.006709497206703911,2024-10-04,オカモト,オカモト,Aniplus,TriF Studios,"['動作', '科幻', '機甲']","集結了福岡當地的學生等志向相同的創作社團「TriF」，作品過去曾使用群眾募資，在2018年向支持者公開了約25分鐘的Web動畫內容。現在，終於成功登上正式動畫化，並於此刻播出！住在北耶我廻市的初中生光，在某一天遇到了迷之「手臂」機械型生命體阿爾瑪。阿爾瑪為了從光身上獲取能量而試圖與光的身體結合但失敗了，最後跟光穿著的連帽衫結合。另一邊，企圖奪取機械手臂的意志、把他們做成機器的大企業「耶我廻集團」正追尋著阿爾瑪，而以解救機械手臂為目的的組織「ARMS」也正在尋找著它。光無法拋棄失去記憶陷入困境的阿瑪爾，穿上與它結合的連帽衫，被捲入了機械手臂使們所引發的各種事件裡……。"
百姓貴族 2nd Season,https://p2.bahamut.com.tw/B/ACG/c/92/0000136992.JPG,190000.0,6,31666.666666666668,https://ani.gamer.com.tw/animeRef.php?sn=113652,5.0,1771.0,0.009321052631578947,2024-10-04,荒川弘,澤田裕太郎,回歸線娛樂,Pie in the sky,"['職場', '泡麵番', '闔家觀賞']","傳說中的牛媽又回來啦！「農家的常識並非社會的常識」荒川弘在成為漫畫家之前，於北海道老家當了七年的酪農兼農民。全年無休的工作，專職養牛和種菜。過著怕被熊咬，被蝦夷縞栗鼠耍得團團轉的日常生活。她將繼續讓你掌握日本酪農與農業辛酸的現實狀況，同時見識到揮灑汗水賣力工作的成年人（有時是兒童），充滿歡笑與活力滿點的酷炫生活方式！"
再見龍生，你好人生,https://p2.bahamut.com.tw/B/ACG/c/50/0000138350.JPG,500000.0,7,71428.57142857143,https://ani.gamer.com.tw/animeRef.php?sn=113649,4.7,2607.0,0.005214,2024-10-04,永島ひろあき,西田健一,回歸線娛樂,Synergy SP×貝加娛樂公司,"['冒險', '奇幻']","有一天，最古老的神龍被人類殺死了。這條活了無盡歲月，擁有令眾神臣服的絕大力量的龍，接受了自己與孤獨一起死亡的結局。可是當龍再次有了知覺時，他就以邊境村民「多蘭」的身份獲得了第二次的生命。成為一個生命比龍要短上許多的人類，他勤奮地耕種，為了獲得食物去獵捕動物......。純樸而溫馨的村落生活，讓多蘭的心裡充滿了許多他在龍生時所無法體會的喜悅。可是某天，在多蘭外出調查沼澤時，自稱「塞麗娜」的半人半蛇出現在他眼前。正在進行尋找伴侶之旅的塞麗娜，雖然是蛇妖，卻不善於誘惑人類。人類與魔物，水火不容的兩人，在相處中心意逐漸相通。然而，各種不同的敵人卻出現在他們面前！？昔日最強、最古老的龍的重生奇幻故"
一兆＄遊戲,https://p2.bahamut.com.tw/B/ACG/c/95/0000135595.JPG,143000.0,8,17875.0,https://ani.gamer.com.tw/animeRef.php?sn=113675,4.7,944.0,0.006601398601398602,2024-10-04,稻垣理一郎、池上遼一,佐藤雄三,Ani-One,MADHOUSE,"['勵志', '職場']",阿陽是個狡猾且頭腦靈活的人，而阿學則是個性格內向、不擅長與人交談的電腦迷。這兩個性格完全相反的人，因為中學時期的一件事而成為朋友。數年後，成為大學生並積極尋找工作的阿學，由於性格問題在面試中屢屢碰壁。於是春提議他們一起創業。「我們的任性是世界第一！」兩人決定要一起賺到能買到任何想要東西的「一兆美元」！
膽大黨,https://p2.bahamut.com.tw/B/ACG/c/57/0000136657.JPG,1831000.0,7,261571.42857142858,https://ani.gamer.com.tw/animeRef.php?sn=113647,5.0,19430.0,0.010611687602403058,2024-10-04,龍幸伸,山代風我,木棉花,Science SARU,"['動作', '冒險', '奇幻', '超能力', '科幻', '喜劇', '戀愛', '青春', '血腥暴力', '靈異神怪']","出生於靈媒師世家的高中女生「小桃（綾瀨桃）」，以及跟她同年級，熱愛神秘學的「厄卡倫（高倉健）」。小桃出手救了在班上被欺負的厄卡倫，兩人也以此為契機和對方聊了起來，可是「相信幽靈但不相信外星人派」的小桃跟「相信外星人但不相信幽靈派」的厄卡倫起了爭執。兩人為了讓對方相信外星人和幽靈確實存在，小桃前往了據說是UFO出沒地的醫院廢墟，厄卡倫則是前往了靈異熱門景點的隧道......兩人在那裡分別遇上了遠遠超出他們理解能力的怪異。在緊要關頭讓深藏於體內的能力覺醒的小桃，跟得到詛咒之力的厄卡倫，兩人將攜手挑戰接連襲來的怪異！也開始了一段命運般的戀情！？超能力戰鬥＆青春故事，就此開幕！"
